node_id,node_name,is_rule_critical,supplier_rank,supplier_score,fusion_score,weighted_degree,weighted_betweenness,weighted_closeness,weighted_kshell,cr,rs,su,dr,is_critical,critical_reason,year_month
SID0017,厦门军宏电子有限公司,0,1,0.5289982388778107,1.0,1.0,1.0,1.0,1.0,0.3293,0.2167629578610388,0.5,0.1136630998568005,1,score_based,2025-01
SID0014,贵阳白云中航紧固件有限公司,0,2,0.5020520685894494,0.9293992605656428,0.5833333333333335,0.3294981486737122,0.4753086419753085,0.8571428571428571,0.4046,1.0,0.4444444444444444,0.582671551249238,1,score_based,2025-01
SID0016,苏州晶讯科技股份有限公司,0,3,0.4611971521254885,0.8223566908417234,0.7500000000000006,0.6520662486508789,0.6600000000000001,0.7857142857142857,0.3705,0.4687707325968952,0.5,0.1476129871651201,1,score_based,2025-01
SID0003,成都爱乐达航空制造股份有限公司,0,4,0.4110139317642939,0.6908733510282021,0.2500000000000001,0.0852649059989208,0.1774193548387095,0.4285714285714285,0.375,1.0,0.3333333333333333,0.9118450112973302,1,score_based,2025-01
SID0010,信阳飞航精密制造有限公司,1,5,0.4048127705123442,0.6746259004608601,0.5833333333333335,0.3294981486737122,0.4753086419753085,0.8571428571428571,0.3915,0.3355091823878907,0.5833333333333333,0.4874044609560992,1,multiple,2025-01
SID0019,宁波中博电器有限公司,1,6,0.4039200072759307,0.6722868020303191,0.6666666666666669,0.3541906450039677,0.5641025641025642,1.0,0.4148,0.7308859652713827,1.0,0.0043212152634069,1,single_supplier,2025-01
SID0020,太原航空仪表有限公司,1,7,0.3968146630149216,0.6536703324765888,0.5833333333333335,0.4242767293900239,0.4753086419753085,1.0,0.4706,0.7005401027980529,1.0,0.0,1,single_supplier,2025-01
SID0021,沈阳兴华航空电器有限责任公司,0,8,0.3909215077725878,0.6382298779237601,0.5000000000000001,0.3533564724756798,0.3928571428571429,0.5,0.5015,0.9690734333566454,0.4166666666666666,0.1389863199118899,0,none,2025-01
SID0012,南京全信传输科技股份有限公司,0,9,0.3617954973150902,0.5619178137949173,0.3333333333333336,0.1139288671520279,0.2444444444444443,0.8571428571428571,0.3875,1.0,0.4583333333333333,0.267694687579905,0,none,2025-01
SID0018,珠海阳浦科技有限公司,1,10,0.3031734288866116,0.4083241366997462,0.5000000000000001,0.2664212724189489,0.3928571428571429,0.7142857142857143,0.3706,0.4381189030881193,1.0,0.0811533468478171,1,single_supplier,2025-01
SID0001,北京七星华创微电子有限责任公司,1,11,0.3028050574122893,0.4073589791951595,0.0,0.0429228541833737,0.0,0.0,0.4157,1.0,1.0,0.3115692226506485,1,single_supplier,2025-01
SID0009,无锡市江大隔振器有限公司,0,12,0.3003352430671126,0.4008879030767706,0.0,0.0027656327514964,0.0,0.1428571428571428,0.3419,1.0,0.4166666666666666,0.4247915364271638,0,none,2025-01
SID0013,合肥江航飞机装备股份有限公司,1,13,0.2798855591420855,0.3473083854363959,0.4166666666666668,0.1687646165722376,0.3160919540229886,0.9285714285714286,0.3881,0.5110932320190265,1.0,0.0180393589567622,1,single_supplier,2025-01
SID0015,青岛科凯电子研究所有限公司,0,14,0.2674508767844825,0.3147286993554647,0.4166666666666668,0.2031313553369575,0.3160919540229886,0.6428571428571429,0.3846,0.4355940955231481,0.5,0.2117802135648386,0,none,2025-01
SID0008,中国航空工业集团公司西安飞行自动管理研究所,0,15,0.253591539180981,0.278416322776288,0.0,0.0,0.0,0.2857142857142857,0.2604,0.1701617684852394,0.0,0.9667175860707516,0,none,2025-01
SID0006,兰州万里航空机电有限责任公司,1,16,0.2394359448942163,0.241327734190844,0.2500000000000001,0.0649140348028652,0.1774193548387095,0.9285714285714286,0.286,0.2627203833631938,1.0,0.3909493856949436,1,single_supplier,2025-01
SID0011,武汉海创电子股份有限公司,1,17,0.234410321070005,0.228160269044174,0.4166666666666668,0.2031313553369575,0.3160919540229886,0.6428571428571429,0.3368,0.1830499166539401,0.8333333333333334,0.0637599244415535,1,single_supplier,2025-01
SID0002,深圳市兴森快捷电路科技股份有限公司,1,18,0.2031713755618956,0.1463121760342847,0.0,0.0373649023557877,0.0,0.0714285714285714,0.3912,0.3292145838909507,1.0,0.4966711195939887,1,single_supplier,2025-01
SID0007,天津航空机电有限公司,1,19,0.200733051681873,0.1399236070069303,0.0833333333333335,0.0313619785540899,0.0555555555555555,0.2142857142857142,0.3715,0.3054373914368968,1.0,0.4640235555648881,1,single_supplier,2025-01
SID0005,上海上缆神舟线缆有限公司,0,20,0.1923446744449745,0.1179455066222843,0.1666666666666669,0.0326750056933324,0.1145833333333332,0.5714285714285714,0.3464,0.4462300899184567,0.5,0.2198450726025654,0,none,2025-01
