node_id,node_name,bom_rank,bom_score,fusion_score,weighted_degree,weighted_betweenness,weighted_closeness,weighted_kshell,is_critical,critical_reason,year_month
MID0020,物料20,1,0.7762354455309156,1.0,1.0,1.0,1.0,0.9,1,score_based,2025-01
MID0005,物料05,2,0.23402682828081434,0.3014894895977713,0.316227766016838,0.21088435374149658,0.7443314360362041,0.7,1,score_based,2025-01
MID0011,物料11,3,0.22782513967447274,0.29350004690735165,0.28867513459481287,0.1020408163265306,0.7185515470882313,1.0,1,score_based,2025-01
MID0014,物料14,4,0.2222379795724234,0.28630228219019427,0.316227766016838,0.1836734693877551,0.8167716172630931,0.7,1,score_based,2025-01
MID0006,物料06,5,0.21662017107291834,0.27906503409511063,0.28544961285922515,0.027210884353741496,0.4927572041881582,0.6,1,score_based,2025-01
MID0001,物料01,6,0.19887433585392228,0.25620362610200026,0.316227766016838,0.049319727891156455,0.6100489446313857,0.9,0,none,2025-01
MID0022,物料22,7,0.19645543507763652,0.25308743140848,0.44095855184409855,0.08163265306122448,0.5703152927718595,0.8,0,none,2025-01
MID0012,物料12,8,0.19203356601366597,0.24739087491981546,0.39674602380793617,0.006802721088435374,0.5195896433805568,0.9,0,none,2025-01
MID0015,物料15,9,0.19172419630536253,0.24699232353945194,0.316227766016838,0.21088435374149658,0.7654001151410477,0.3,0,none,2025-01
MID0003,物料03,10,0.1888267344719356,0.2432596135091271,0.29814239699997197,0.10884353741496598,0.7445051098978019,0.7,0,none,2025-01
MID0018,物料18,11,0.18022690016754894,0.23218071424744147,0.268741924943285,0.08843537414965986,0.7117237687366167,0.7,0,none,2025-01
MID0002,物料02,12,0.1693358170254338,0.21815007031740805,0.36514837167011077,0.03401360544217687,0.6922376014231786,0.7,0,none,2025-01
MID0013,物料13,13,0.16359837192703675,0.21075869811013548,0.29814239699997197,0.16326530612244897,0.7754447360746571,0.3,0,none,2025-01
MID0023,物料23,14,0.14289947927844027,0.18409295800799516,0.4513354669242201,0.047619047619047616,0.540905238175962,0.5,0,none,2025-01
MID0024,物料24,15,0.13869005154130806,0.17867008307827187,0.45133546692422005,0.08163265306122448,0.5376423805351486,0.4,0,none,2025-01
MID0021,物料21,16,0.1316465188606253,0.1695961188303944,0.29814239699997197,0.10884353741496598,0.6648054004500374,0.3,0,none,2025-01
MID0007,物料07,17,0.11724011165491582,0.1510367921613371,0.25819888974716115,0.10884353741496598,0.6210198520825223,0.2,0,none,2025-01
