date,active_suppliers,disrupted_suppliers,degraded_suppliers,affected_items,failed_items,blocked_assemblies,final_product_id,final_product_status,service_level,active_backup_switches,active_substitutions,affected_key_items,failed_key_items,disrupted_key_suppliers,degraded_key_suppliers,affected_non_key_items,failed_non_key_items,disrupted_non_key_suppliers,degraded_non_key_suppliers,supply_available_items,supply_degraded_items,supply_unavailable_items,supply_effective_available_items,supply_effective_degraded_items,supply_effective_unavailable_items,supply_effective_affected_items,supply_blocked_assemblies,supply_affected_products,supply_failed_products,total_requested_demand,total_fulfilled_demand,total_backlog_demand,total_lost_demand,demand_fulfillment_rate,demand_backlog_items,demand_lost_items,demand_backlog_products,demand_lost_products,fused_active_items,fused_affected_items,fused_failed_items,fused_active_products,fused_affected_products,fused_failed_products,system_service_level,system_root_cause,root_cause_supply_constraint_items,root_cause_demand_items,root_cause_mixed_items,root_cause_supply_constraint_products,root_cause_demand_products,root_cause_mixed_products,policy_daily_cost,policy_cumulative_cost,policy_event_count,pending_backup_switches,pending_substitutions,pending_priority_repairs,active_priority_repairs,backup_supplier_switch_daily_cost,backup_supplier_switch_cumulative_cost,equivalent_material_substitution_daily_cost,equivalent_material_substitution_cumulative_cost,priority_repair_daily_cost,priority_repair_cumulative_cost
2025-06-15,16,5,0,5,3,3,MID0006,failed,0.0,0,0,2,2,3,0,3,1,2,0,22,2,1,20,2,3,5,3,1,1,15.61144248047491,0.0,12.489153984379929,3.1222884960949813,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,20,0,1,0,0,13658.1506,13658.1506,8,6,0,2,0,10035.8299,10035.8299,0.0,0.0,3622.3207,3622.3207
2025-06-16,12,9,0,9,3,3,MID0006,failed,0.0,0,0,2,2,6,0,7,1,3,0,21,3,1,16,6,3,9,3,1,1,25.602765667978854,0.0,20.482212534383084,5.12055313359577,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,19,1,1,0,0,6613.4763,20271.6269,12,10,0,2,0,6613.4763,16649.3062,0.0,0.0,0.0,3622.3207
2025-06-17,9,12,0,9,3,3,MID0006,failed,0.0,0,0,2,2,9,0,7,1,3,0,21,3,1,16,6,3,9,3,1,1,31.997212507981377,0.0,25.597770006385105,6.399442501596273,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,19,1,1,0,0,4601.1118,24872.7387,15,13,0,2,0,4601.1118,21250.418,0.0,0.0,0.0,3622.3207
2025-06-18,9,12,0,9,3,3,MID0006,failed,0.0,0,0,2,2,9,0,7,1,3,0,21,3,1,16,6,3,9,3,1,1,36.089658485582994,0.0,28.871726788466397,7.217931697116597,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,19,1,1,0,0,0.0,24872.7387,15,13,0,2,0,0.0,21250.418,0.0,0.0,0.0,3622.3207
2025-06-19,9,12,0,9,3,3,MID0006,failed,0.0,0,0,2,2,9,0,7,1,3,0,21,3,1,16,6,3,9,3,1,1,38.70882391124803,0.0,30.96705912899843,7.741764782249604,0.0,23,0,1,0,0,22,3,0,0,1,0.0,supply_constraint,5,19,1,1,0,0,0.0,24872.7387,15,13,0,2,0,0.0,21250.418,0.0,0.0,0.0,3622.3207
2025-06-20,10,11,0,7,0,0,MID0006,affected,0.5,0,0,1,0,8,0,6,0,3,0,22,3,0,18,7,0,7,0,1,0,40.38508978367365,30.288817337755237,8.07701795673473,2.019254489183682,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,22,1,0,0,1,3100.0,27972.7387,18,10,0,1,2,0.0,21250.418,0.0,0.0,3100.0,6722.3207
2025-06-21,10,11,0,7,0,0,MID0006,affected,0.5,0,0,1,0,8,0,6,0,3,0,22,3,0,18,7,0,7,0,1,0,22.073056845862695,16.55479263439702,4.4146113691725395,1.1036528422931342,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,22,1,0,0,1,0.0,27972.7387,18,10,0,1,2,0.0,21250.418,0.0,0.0,0.0,6722.3207
2025-06-22,10,11,0,7,0,0,MID0006,affected,0.5,1,0,1,0,8,0,6,0,3,0,22,3,0,18,7,0,7,0,1,0,19.14313157581294,14.357348681859705,3.828626315162589,0.9571565787906469,0.75,23,0,1,0,0,25,0,0,1,0,0.5,mixed_pressure,2,22,1,0,0,1,600.0,28572.7387,19,9,0,1,2,600.0,21850.418,0.0,0.0,0.0,6722.3207
2025-06-23,10,11,0,2,0,0,MID0006,active,1.0,3,0,0,0,8,0,2,0,3,0,23,2,0,23,2,0,2,0,0,0,18.674343532604983,18.674343532604983,0.0,0.0,1.0,0,0,0,0,23,2,0,1,0,0,1.0,stable,2,0,0,0,0,0,1200.0,29772.7387,21,7,0,1,2,1200.0,23050.418,0.0,0.0,0.0,6722.3207
2025-06-24,10,11,0,2,0,0,MID0006,active,1.0,3,0,0,0,8,0,2,0,3,0,23,2,0,23,2,0,2,0,0,0,15.61144248047491,15.61144248047491,0.0,0.0,1.0,0,0,0,0,23,2,0,1,0,0,1.0,stable,2,0,0,0,0,0,0.0,29772.7387,21,7,0,1,2,0.0,23050.418,0.0,0.0,0.0,6722.3207
